strain	husb	husb_group	animal_type	sample_type	genus	CRE	ESBL	MAR	MAR_profile	AUG	AMP	AZI	FAZ	FEP	FOT	FOX	POD	TAZ	AXO	CEP	CHL	CIP	GEN	IMP	MEM	NAL	TZP	STR	SUL	FTC	CCV	TET	SXT
Res13-Abat-PEA25-P4-1	AF3	AF3-4	carcass	swab	Acinetobacter	No	No	9	AugFazFepFotTazAxoCepChlTzp	R	R	S	R	R	R	R	R	R	R	R	R	S	S	S	S	S	R	S	S	NI	NI	S	S
Res13-Abat-PEA25-P4-2	AF3	AF3-4	carcass	swab	Escherichia coli 1	No	No	13	AugAmpFazFepFotFoxPodTazAxoCepChlTzpStr	R	R	S	R	R	R	R	R	R	R	R	R	S	S	S	S	S	R	R	S	NI	NI	S	S
Res13-Abat-PEA25-P5-2	AF3	AF3-4	carcass	swab	Acinetobacter	No	No	4	AugFazCepChl	R	R	S	R	S	S	R	S	S	S	R	R	S	S	S	S	S	S	S	S	NI	NI	S	S
Res13-Abat-PEA28-P5-2	AF3	AF3-4	carcass	swab	Acinetobacter	No	No	4	AugFazCepChl	R	R	S	R	S	S	R	S	S	S	R	R	S	S	S	S	S	S	S	S	NI	NI	S	S
Res13-Abat-PEB01-P1-4	AF1	AF1-1	carcass	swab	Klebsiella pneumoniae ssp pneumoniae 2	No	No	1	Amp	S	R	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	NI	NI	S	S
Res13-Abat-PEB19-P1-2	AF1	AF1-3	carcass	swab	Enterobacter cloacae	No	No	9	AugAmpFazFotFoxPodTazAxoCep	R	R	S	R	S	R	R	R	R	R	R	S	S	S	S	S	S	S	S	S	NI	NI	S	S
Res13-Abat-PEC07-P3-1-a	CV	CV-1	carcass	swab	Acinetobacter	No	No	4	AugFazCepChl	R	I	S	R	S	S	R	S	S	S	R	R	S	S	S	S	S	S	S	S	NI	NI	S	S
Res13-Abat-PEC08-P2-1	CV	CV-2	carcass	swab	Acinetobacter	No	No	4	AugFazCepChl	R	I	S	R	S	S	R	S	S	S	R	R	S	S	S	S	S	S	S	S	NI	NI	S	S
Res13-Abat-PEC09-P3-2	CV	CV-2	carcass	swab	Acinetobacter	No	No	4	AugFazCepChl	R	I	S	R	S	S	R	S	S	S	R	R	S	S	S	S	S	S	S	S	NI	NI	S	S
Res13-Abat-PEC10-P4-1	CV	CV-2	carcass	swab	Acinetobacter	No	No	4	AugFazCepChl	R	I	S	R	S	S	R	S	S	S	R	R	S	S	S	S	S	S	S	S	NI	NI	S	S
Res13-Abat-PEC12-P5-2	CV	CV-2	carcass	swab	Acinetobacter	No	No	4	AugFazCepChl	R	I	S	R	S	S	R	S	S	S	R	R	S	S	S	S	S	S	S	S	NI	NI	S	S
Res13-Abat-PEC13-P2-1	CV	CV-2	carcass	swab	Acinetobacter	No	No	4	AugFazCepChl	R	I	S	R	S	S	R	S	S	S	R	R	S	S	S	S	S	S	S	S	NI	NI	S	S
Res13-Abat-PEC14-P4-1	CV	CV-2	carcass	swab	Acinetobacter	No	No	4	AugFazCepChl	R	I	S	R	S	S	R	S	S	S	R	R	S	S	S	S	S	S	S	S	NI	NI	S	S
Res13-Abat-PEC15-P5-2	CV	CV-2	carcass	swab	Acinetobacter	No	No	4	AugFazCepChl	R	I	S	R	S	S	R	S	S	S	R	R	S	S	S	S	S	S	S	S	NI	NI	S	S
