strain,steve_strain_names,husb,husb_group,animal_type,sample_type,genus,CRE,ESBL,MAR,MAR_profile,AUG,AMP,AZI,FAZ,FEP,FOT,FOX,POD,TAZ,AXO,CEP,CHL,CIP,GEN,IMP,MEM,NAL,TZP,STR,SUL,FTC,CCV,TET,SXT
Res13-Fini-PEA16-14,NA,AF3,AF3-3,finisher,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Fini-PEA17-13,FPEA1713,AF3,AF3-3,finisher,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Fini-PEA18-12,NA,AF3,AF3-3,finisher,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Fini-PEA18-10,NA,AF3,AF3-3,finisher,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Fini-PEA19-10,NA,AF3,AF3-3,finisher,feces,Escherichia coli,No,Yes,10,AmpFazFotPodTazAxoCepStrSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,R,R,ESBL,ESBL,S,R
Res13-Fini-PEA19-34,NA,AF3,AF3-3,finisher,feces,Escherichia coli,No,Yes,10,AmpFazFotPodTazAxoCepStrSulSxt,I,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,R,R,ESBL,ESBL,S,R
Res13-Fini-PEA20-02,NA,AF3,AF3-3,finisher,feces,Escherichia coli,No,Yes,10,AmpFazFotPodTazAxoCepStrSulSxt,I,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,R,R,ESBL,ESBL,S,R
Res13-Fini-PEA20-25,FPEA2025,AF3,AF3-3,finisher,feces,Escherichia coli,No,Yes,10,AmpFazFotPodTazAxoCepStrSulSxt,I,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,R,R,ESBL,ESBL,S,R
Res13-Fini-PEA21-29,NA,AF3,AF3-3,finisher,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Fini-PEA21-33,FPEA2133,AF3,AF3-3,finisher,feces,Escherichia coli,No,Yes,7,AmpFazFotPodTazAxoSxt,S,R,S,R,SD,R,S,R,R,R,I,S,S,S,S,S,S,S,S,S,ESBL,ESBL,S,R
Res13-Lact-EA22-14,LEA2214,AF3,AF3-4,sow,feces,Escherichia coli,No,Yes,8,AmpFazFotPodTazAxoCepSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-EA22-23,NA,AF3,AF3-4,sow,feces,Escherichia coli,No,Yes,8,AmpFazFotPodTazAxoCepSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-EA23-13,LEA2313,AF3,AF3-4,sow,feces,Escherichia coli,No,No,11,AugAmpFazFotFoxPodTazAxoCepTetSxt,R,R,S,R,S,R,R,R,R,R,R,S,S,S,S,S,S,S,R,R,NI,NI,R,R
Res13-Lact-EA23-24,NA,AF3,AF3-4,sow,feces,Escherichia coli,No,No,11,AugAmpFazFotFoxPodTazAxoCepTetSxt,R,R,S,R,S,R,R,R,R,R,R,S,S,S,S,S,S,I,R,R,NI,NI,R,R
Res13-Lact-EA24-15,NA,AF3,AF3-4,sow,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-EA25-38,NA,AF3,AF3-4,sow,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-EA25-33,NA,AF3,AF3-4,sow,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-EA26-10,LEA2610,AF3,AF3-4,sow,feces,Escherichia coli,No,Yes,10,AmpFazFepFotPodTazAxoCepSulSxt,S,R,S,R,R,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-EA27-10,NA,AF3,AF3-4,sow,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-EA28-13,LEA2813,AF3,AF3-4,sow,feces,Escherichia coli,No,No,13,AugAmpFazFotFoxPodTazAxoCepStrSulTetSxt,R,R,S,R,S,R,R,R,R,R,R,S,S,S,S,S,S,S,R,R,NI,NI,R,R
Res13-Lact-PEA22-13,NA,AF3,AF3-4,suckler,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-PEA23-13,LPEA2313,AF3,AF3-4,suckler,feces,Escherichia coli,No,No,13,AugAmpFazFotFoxPodTazAxoCepStrSulTetSxt,R,R,S,R,S,R,R,R,R,R,R,S,S,S,S,S,S,S,R,R,NI,NI,R,R
Res13-Lact-PEA24-01,NA,AF3,AF3-4,suckler,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-PEA25-11,LPEA2511,AF3,AF3-4,suckler,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-PEA25-39,NA,AF3,AF3-4,suckler,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-PEA26-33,NA,AF3,AF3-4,suckler,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-PEA26-25,NA,AF3,AF3-4,suckler,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-PEA27-01,NA,AF3,AF3-4,suckler,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-PEA27-11,LPEA2711,AF3,AF3-4,suckler,feces,Escherichia coli,No,Yes,10,AmpFazFotPodTazAxoCepSulTetSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,R,R
Res13-Lact-PEA28-33,NA,AF3,AF3-4,suckler,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-PEA28-10,LPEA2810,AF3,AF3-4,suckler,feces,Escherichia coli,No,Yes,10,AmpFazFepFotPodTazAxoCepSulSxt,S,R,S,R,R,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Sevr-PEA22-33,NA,AF3,AF3-4,weaner,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Sevr-PEA22-05,NA,AF3,AF3-4,weaner,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Sevr-PEA23-32,NA,AF3,AF3-4,weaner,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Sevr-PEA24-10,NA,AF3,AF3-4,weaner,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Sevr-PEA24-03,SPEA2403,AF3,AF3-4,weaner,feces,Escherichia coli,No,Yes,10,AmpFazFepFotPodTazAxoCepSulSxt,S,R,S,R,R,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Sevr-PEA25-25,NA,AF3,AF3-4,weaner,feces,Escherichia coli,No,Yes,10,AmpFazFepFotPodTazAxoCepSulSxt,S,R,S,R,R,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Sevr-PEA26-32,NA,AF3,AF3-4,weaner,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Sevr-PEA26-01,NA,AF3,AF3-4,weaner,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Sevr-PEA27-14,SPEA2714,AF3,AF3-4,weaner,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Sevr-PEA27-21,NA,AF3,AF3-4,weaner,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Sevr-PEA28-06,NA,AF3,AF3-4,weaner,feces,Escherichia coli,No,Yes,10,AmpFazFepFotPodTazAxoCepSulSxt,S,R,S,R,R,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Sevr-PEA28-36,SPEA2836,AF3,AF3-4,weaner,feces,Escherichia coli,No,Yes,11,AmpFazFepFotPodTazAxoCepSulTetSxt,I,R,S,R,R,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,R,R
Res13-Lact-PEA24-33,NA,AF3,AF3-4,suckler,feces,Escherichia coli,No,Yes,10,AmpFazFotPodTazAxoCepSulTetSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,R,R
Res13-Croi-PEA22-10,NA,AF3,AF3-4,grower,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Croi-PEA22-35,CPEA2235,AF3,AF3-4,grower,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Croi-PEA23-01,NA,AF3,AF3-4,grower,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Croi-PEA23-26,NA,AF3,AF3-4,grower,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Croi-PEA24-47,NA,AF3,AF3-4,grower,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Croi-PEA24-40,CPEA2440,AF3,AF3-4,grower,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Croi-PEA25-33,NA,AF3,AF3-4,grower,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Croi-PEA26-32,NA,AF3,AF3-4,grower,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Croi-PEA27-33,CPEA2733,AF3,AF3-4,grower,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Croi-PEA28-12,NA,AF3,AF3-4,grower,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Fini-PEA22-05,FPEA2205,AF3,AF3-4,finisher,feces,Escherichia coli,No,Yes,9,AugAmpFazFotFoxPodTazAxoSxt,R,R,S,R,SD,R,R,R,R,R,I,S,S,S,S,S,S,S,S,S,ESBL,ESBL,S,R
Res13-Fini-PEA22-32,NA,AF3,AF3-4,finisher,feces,Escherichia coli,No,Yes,7,AmpFazFotPodTazAxoSxt,I,R,S,R,SD,R,S,R,R,R,I,S,S,S,S,S,S,S,S,S,ESBL,ESBL,S,R
Res13-Fini-PEA23-13,NA,AF3,AF3-4,finisher,feces,Escherichia coli,No,Yes,8,AmpFazFotPodTazAxoCepSxt,S,R,S,R,SD,R,I,R,R,R,R,S,S,S,S,S,S,S,S,S,ESBL,ESBL,S,R
Res13-Fini-PEA24-10,NA,AF3,AF3-4,finisher,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Fini-PEA25-34,FPEA2534,AF3,AF3-4,finisher,feces,Escherichia coli,No,Yes,11,AmpFazFotPodTazAxoCepStrSulTetSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,R,R,ESBL,ESBL,R,R
Res13-Fini-PEA26-10,NA,AF3,AF3-4,finisher,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Fini-PEA27-13,NA,AF3,AF3-4,finisher,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Fini-PEA28-13,NA,AF3,AF3-4,finisher,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-PEC05-17,LPEC0517,CV,CV-1,suckler,feces,Enterobacter cloacae,No,No,10,AugAmpFazFotFoxPodTazAxoCepTet,R,R,S,R,S,R,R,R,R,R,R,S,S,S,S,S,S,S,S,S,NI,NI,R,S
Res13-Fini-PEC01-29,FPEC0129,CV,CV-1,finisher,feces,Escherichia coli,No,No,12,AugAmpFazFotFoxPodTazAxoCepChlTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,I,R,R,NI,NI,R,R
Res13-Fini-PEC02-13,FPEC0213,CV,CV-1,finisher,feces,Escherichia coli,No,No,12,AugAmpFazFotFoxPodTazAxoCepChlTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,I,R,R,NI,NI,R,R
Res13-Fini-PEC03-13,FPEC0313,CV,CV-1,finisher,feces,Escherichia coli,No,No,12,AugAmpFazFotFoxPodTazAxoCepChlTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,I,R,R,NI,NI,R,R
Res13-Fini-PEC05-10,NA,CV,CV-1,finisher,feces,Escherichia coli,No,No,12,AugAmpFazFotFoxPodTazAxoCepChlTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,S,R,R,NI,NI,R,R
Res13-Fini-PEC06-02,NA,CV,CV-1,finisher,feces,Escherichia coli,No,No,12,AugAmpFazFotFoxPodTazAxoCepChlTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,S,R,R,NI,NI,R,R
Res13-Fini-PEC04-11,NA,CV,CV-1,finisher,feces,Escherichia coli,No,No,12,AugAmpFazFotFoxPodTazAxoCepChlTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,I,R,R,NI,NI,R,R
Res13-Fini-PEC07-13,NA,CV,CV-1,finisher,feces,Escherichia coli,No,No,12,AugAmpFazFotFoxPodTazAxoCepChlTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,S,R,R,NI,NI,R,R
Res13-Fini-PEC01-30,NA,CV,CV-1,finisher,feces,Escherichia coli,No,No,15,AugAmpFazFotFoxPodTazAxoCepChlTzpStrSulTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,R,R,R,NI,NI,R,R
Res13-Fini-PEC01-21,NA,CV,CV-1,finisher,feces,Escherichia coli,No,No,14,AugAmpFazFotFoxPodTazAxoCepChlStrSulTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,I,R,R,NI,NI,R,R
Res13-Fini-PEC02-21,NA,CV,CV-1,finisher,feces,Escherichia coli,No,No,14,AugAmpFazFotFoxPodTazAxoCepChlStrSulTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,I,R,R,NI,NI,R,R
Res13-Fini-PEC02-39,NA,CV,CV-1,finisher,feces,Escherichia coli,No,No,14,AugAmpFazFotFoxPodTazAxoCepChlStrSulTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,S,R,R,NI,NI,R,R
Res13-Fini-PEC03-21,NA,CV,CV-1,finisher,feces,Escherichia coli,No,No,14,AugAmpFazFotFoxPodTazAxoCepChlStrSulTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,S,R,R,NI,NI,R,R
Res13-Fini-PEC04-25,NA,CV,CV-1,finisher,feces,Escherichia coli,No,No,14,AugAmpFazFotFoxPodTazAxoCepChlStrSulTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,I,R,R,NI,NI,R,R
Res13-Fini-PEC05-01,NA,CV,CV-1,finisher,feces,Escherichia coli,No,No,14,AugAmpFazFotFoxPodTazAxoCepChlStrSulTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,S,R,R,NI,NI,R,R
Res13-Fini-PEC06-47,NA,CV,CV-1,finisher,feces,Escherichia coli,No,No,14,AugAmpFazFotFoxPodTazAxoCepChlStrSulTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,I,R,R,NI,NI,R,R
Res13-Fini-PEC07-05,NA,CV,CV-1,finisher,feces,Escherichia coli,No,No,14,AugAmpFazFotFoxPodTazAxoCepChlStrSulTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,S,R,R,NI,NI,R,R
Res13-Croi-PEC01-35,NA,CV,CV-1,grower,feces,Escherichia coli,No,No,15,AugAmpFazFotFoxPodTazAxoCepChlTzpStrSulTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,R,R,R,NI,NI,R,R
Res13-Croi-PEC02-03,CPEC0203,CV,CV-1,grower,feces,Escherichia coli,No,Yes,14,AugAmpFazFotFoxPodTazAxoCepChlStrSulTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,S,R,R,ESBL,ESBL,R,R
Res13-Croi-PEC03-01,CPEC0301,CV,CV-1,grower,feces,Escherichia coli,No,Yes,14,AugAmpFazFotFoxPodTazAxoCepChlStrSulTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,I,R,R,ESBL,ESBL,R,R
Res13-Croi-PEC04-35,NA,CV,CV-1,grower,feces,Escherichia coli,No,No,14,AugAmpFazFotFoxPodTazAxoCepChlStrSulTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,I,R,R,NI,NI,R,R
Res13-Croi-PEC04-13,CPEC0413,CV,CV-1,grower,feces,Escherichia coli,No,No,14,AugAmpFazFotFoxPodTazAxoCepChlStrSulTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,S,R,R,NI,NI,R,R
Res13-Croi-PEC05-23,NA,CV,CV-1,grower,feces,Escherichia coli,No,No,14,AugAmpFazFotFoxPodTazAxoCepChlStrSulTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,I,R,R,NI,NI,R,R
Res13-Croi-PEC06-22,NA,CV,CV-1,grower,feces,Escherichia coli,No,No,14,AugAmpFazFotFoxPodTazAxoCepChlStrSulTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,I,R,R,NI,NI,R,R
Res13-Lact-EC02-01,LEC0201,CV,CV-1,sow,feces,Citrobacter freundii,No,No,10,AugAmpFazFotFoxPodTazAxoCepTet,R,R,S,R,S,R,R,R,R,R,R,S,S,S,S,S,S,I,S,S,NI,NI,R,S
Res13-Lact-EC05-01,LEC0501,CV,CV-1,sow,feces,Citrobacter freundii,No,No,10,AugAmpFazFotFoxPodTazAxoCepTet,R,R,S,R,S,R,R,R,R,R,R,S,S,S,S,S,S,I,S,S,NI,NI,R,S
Res13-Lact-EC07-17,LEC0717,CV,CV-1,sow,feces,Escherichia coli,No,No,10,AugAmpFazFotFoxPodTazAxoCepTet,R,R,S,R,S,R,R,R,R,R,R,S,S,S,S,S,S,I,S,S,NI,NI,R,S
Res13-Lact-PEC05-10,LPEC0510,CV,CV-1,suckler,feces,Enterobacter cloacae,No,No,10,AugAmpFazFotFoxPodTazAxoCepTet,R,R,S,R,S,R,R,R,R,R,R,S,S,S,S,S,S,S,S,S,NI,NI,R,S
Res13-Lact-PEC05-16,LPEC0516,CV,CV-1,suckler,feces,Enterobacter cloacae,No,No,10,AugAmpFazFotFoxPodTazAxoCepTet,R,R,S,R,S,R,R,R,R,R,R,S,S,S,S,S,S,S,S,S,NI,NI,R,S
Res13-Lact-PEC03-03,NA,CV,CV-1,suckler,feces,Citrobacter freundii,No,No,13,AugAmpFazFotFoxPodTazAxoCepStrSulTetSxt,R,R,S,R,S,R,R,R,R,R,R,S,S,S,S,S,S,I,R,R,NI,NI,R,R
Res13-Lact-PEC07-11,LPEC0711,CV,CV-1,suckler,feces,Escherichia coli,No,No,11,AugAmpFazFotFoxPodTazAxoCepStrTet,R,R,S,R,S,R,R,R,R,R,R,S,S,S,S,S,S,S,R,S,NI,NI,R,S
Res13-Fini-PEC11-01,FPEC1101,CV,CV-2,finisher,feces,Escherichia coli,No,No,13,AugAmpFazFotFoxPodTazAxoCepChlTzpTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,R,R,R,NI,NI,R,R
Res13-Fini-PEC11-11,NA,CV,CV-2,finisher,feces,Escherichia coli,No,No,12,AugAmpFazFotFoxPodTazAxoCepChlTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,S,R,R,NI,NI,R,R
Res13-Fini-PEC11-04-A,NA,CV,CV-2,finisher,feces,Escherichia coli,No,No,12,AugAmpFazFotFoxPodTazAxoCepChlTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,S,R,R,NI,NI,R,R
Res13-Fini-PEC12-04,NA,CV,CV-2,finisher,feces,Escherichia coli,No,No,12,AugAmpFazFotFoxPodTazAxoCepChlTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,S,R,R,NI,NI,R,R
Res13-Fini-PEC10-29,NA,CV,CV-2,finisher,feces,Escherichia coli,No,No,12,AugAmpFazFotFoxPodTazAxoCepChlTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,S,R,R,NI,NI,R,R
Res13-Fini-PEC13-17,FPEC1317,CV,CV-2,finisher,feces,Escherichia coli,No,No,12,AugAmpFazFotFoxPodTazAxoCepChlTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,S,R,R,NI,NI,R,R
Res13-Fini-PEC10-33,NA,CV,CV-2,finisher,feces,Escherichia coli,No,No,12,AugAmpFazFotFoxPodTazAxoCepChlTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,I,R,R,NI,NI,R,R
Res13-Fini-PEC13-11,NA,CV,CV-2,finisher,feces,Escherichia coli,No,No,12,AugAmpFazFotFoxPodTazAxoCepChlTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,S,R,R,NI,NI,R,R
Res13-Fini-PEC15-13,NA,CV,CV-2,finisher,feces,Escherichia coli,No,No,12,AugAmpFazFotFoxPodTazAxoCepChlTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,S,R,R,NI,NI,R,R
Res13-Fini-PEC12-33,NA,CV,CV-2,finisher,feces,Escherichia coli,No,No,12,AugAmpFazFotFoxPodTazAxoCepChlTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,I,R,R,NI,NI,R,R
Res13-Fini-PEC15-05,NA,CV,CV-2,finisher,feces,Escherichia coli,No,No,10,AugAmpFazFotFoxPodTazAxoCepTet,R,R,S,R,S,R,R,R,R,R,R,S,S,S,S,S,S,S,S,S,NI,NI,R,S
Res13-Fini-PEC10-36,NA,CV,CV-2,finisher,feces,Escherichia coli,No,No,14,AugAmpFazFotFoxPodTazAxoCepChlStrSulTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,I,R,R,NI,NI,R,R
Res13-Croi-PEC11-19,CPEC1119,CV,CV-2,grower,feces,Escherichia coli,No,Yes,14,AugAmpFazFotFoxPodTazAxoCepChlStrSulTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,S,R,R,ESBL,ESBL,R,R
Res13-Croi-PEC11-26,NA,CV,CV-2,grower,feces,Escherichia coli,No,No,14,AugAmpFazFotFoxPodTazAxoCepChlStrSulTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,S,R,R,NI,NI,R,R
