strain,steve_strain_names,husb,husb_group,animal_type,sample_type,genus,CRE,ESBL,MAR,MAR_profile,AUG,AMP,AZI,FAZ,FEP,FOT,FOX,POD,TAZ,AXO,CEP,CHL,CIP,GEN,IMP,MEM,NAL,TZP,STR,SUL,FTC,CCV,TET,SXT
Res13-Lact-PER04-34,LPER0434,AF2,AF2-1,suckler,feces,Escherichia coli,No,Yes,12,AmpFazFotPodTazAxoCepGenStrSulTetSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,R,S,S,S,S,R,R,ESBL,ESBL,R,R
Res13-Sevr-LER1-36-a,NA,AF2,AF2-1,weaner,manure,Serratia fonticola,No,No,5,AmpFazPodAxoCep,S,R,S,R,S,I,I,R,S,R,R,S,S,S,S,S,S,S,S,R,NI,NI,S,S
Res13-Sevr-LER1-36-b,NA,AF2,AF2-1,weaner,manure,Serratia fonticola,No,No,3,AmpFazCep,S,R,S,R,S,S,I,I,S,S,R,S,S,S,S,S,S,S,S,NI,NI,NI,S,S
Res13-Sevr-LER1-34,SLER134,AF2,AF2-1,weaner,manure,Escherichia coli,No,Yes,10,AmpFazFotPodTazAxoCepGenTetSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,R,S,S,S,S,R,R,ESBL,ESBL,R,R
Res13-Sevr-PER06-5-b,NA,AF2,AF2-1,weaner,feces,Escherichia coli,No,Yes,10,AmpFazFotPodTazAxoCepGenTetSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,R,S,S,S,S,R,R,ESBL,ESBL,R,R
Res13-Sevr-PER07-33,SPER0733,AF2,AF2-1,weaner,feces,Escherichia coli,No,Yes,8,AmpFazFotPodTazAxoCepSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-LER2-34,LLER234,AF2,AF2-2,sow,manure,Escherichia coli,No,Yes,12,AmpFazFotPodTazAxoCepGenStrSulTetSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,R,S,S,S,S,R,R,ESBL,ESBL,R,R
Res13-Lact-LER2-35-a,NA,AF2,AF2-2,sow,manure,Citrobacter braakii,No,No,10,AugAmpFazFotFoxPodTazAxoCepTet,R,R,S,R,S,R,R,R,R,R,R,S,S,S,S,S,S,S,S,S,NI,NI,R,S
Res13-Lact-LER2-35-b,NA,AF2,AF2-2,sow,manure,Citrobacter braakii,No,No,10,AugAmpFazFotFoxPodTazAxoCepTet,R,R,S,R,S,R,R,R,R,R,R,S,S,S,S,S,S,S,S,S,NI,NI,R,S
Res13-Lact-PER08-34,LPER0834,AF2,AF2-2,suckler,feces,Escherichia coli,No,Yes,11,AmpFazFotPodTazAxoCepStrSulTetSxt,I,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,R,R,ESBL,ESBL,R,R
Res13-Lact-PER09-33,LPER0933,AF2,AF2-2,suckler,feces,Escherichia coli,No,Yes,7,AmpFazFotPodTazAxoCep,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-PER10-32,LPER1032,AF2,AF2-2,suckler,feces,Escherichia coli,No,Yes,5,FotPodTazAxoCep,S,S,S,S,S,R,S,R,R,R,R,S,S,I,S,S,S,S,R,R,ESBL,ESBL,R,R
Res13-Lact-PER12-33,NA,AF2,AF2-2,suckler,feces,Escherichia coli,No,Yes,12,AmpFazFotPodTazAxoCepGenStrSulTetSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,R,S,S,S,S,R,R,ESBL,ESBL,R,R
Res13-Lact-PER12-34,LPER1234,AF2,AF2-2,suckler,feces,Escherichia coli,No,Yes,10,AmpFazFotPodTazAxoCepSulTetSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,R,R
Res13-Lact-PER13-34,LPER1334,AF2,AF2-2,suckler,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-PER13-36,LPER1336,AF2,AF2-2,suckler,feces,Escherichia coli,No,Yes,8,AmpFazFotPodTazAxoCepSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,NI,NI,S,R
Res13-Sevr-LER2-35,SLER235,AF2,AF2-2,weaner,manure,Providencia rettgeri,Yes,No,14,AugAmpFazFepFotFoxPodTazAxoCepGenImpMemTet,R,R,R,R,R,R,R,R,R,R,R,I,S,R,R,R,S,S,S,R,NI,NI,R,S
Res13-Sevr-LER2-33,SLER233,AF2,AF2-2,weaner,manure,Providencia rettgeri,Yes,No,13,AugAmpFazFepFotFoxPodTazAxoCepImpMemTet,R,R,R,R,R,R,R,R,R,R,R,I,S,I,R,R,S,S,S,R,NI,NI,R,S
Res13-Sevr-LER2-36,SLER236,AF2,AF2-2,weaner,manure,Providencia rettgeri,Yes,No,13,AugAmpFazFepFotFoxPodTazAxoCepImpMemTet,R,R,R,R,R,R,R,R,R,R,R,I,S,I,R,R,S,S,S,R,NI,NI,R,S
Res13-Sevr-LER2-34,SLER234,AF2,AF2-2,weaner,manure,Providencia rettgeri,Yes,No,14,AugAmpFazFepFotFoxPodTazAxoCepGenImpMemTet,R,R,R,R,R,R,R,R,R,R,R,I,S,R,R,R,S,S,S,R,NI,NI,R,S
Res13-Lact-EA04-23,NA,AF3,AF3-1,sow,feces,Escherichia coli,No,Yes,13,AugAmpAziFazFotFoxPodAxoCepChlNalSulSxt,R,R,R,R,S,R,R,R,S,R,R,R,S,S,S,S,R,S,S,R,NI,ESBL,I,R
Res13-Lact-EA04-8,NA,AF3,AF3-1,sow,feces,Escherichia coli,No,Yes,11,AmpFazFotPodTazAxoCepStrSulTetSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,R,R,ESBL,ESBL,R,R
